"Customer ID","Age","Gender","Purchase Amount (USD)","Item Purchased","Category","Size","Color","Season","Location","Frequency of Purchases","Previous Purchases","Shipping Type","Payment Method","Promo Code Used","Subscription Status","Rating Category","Rating"
"20","66","Male","90","Pants","Clothing","M","Green","Summer","Rhode Island","Bi-Weekly","46","Standard","Debit Card","True","True","Low","3.3"
"21","21","Male","51","Pants","Clothing","M","Black","Winter","Louisiana","Every 3 Months","50","Express","Cash","True","True","Low","2.8"
"22","31","Male","62","Pants","Clothing","M","Charcoal","Winter","North Carolina","Quarterly","22","Store Pickup","Debit Card","True","True","Medium","4.1"
"23","56","Male","37","Pants","Clothing","M","Peach","Summer","California","Annually","32","Store Pickup","Debit Card","True","True","Low","3.2"
"24","31","Male","88","Pants","Clothing","Xl","White","Winter","Oklahoma","Weekly","40","Express","Credit Card","True","True","Medium","4.4"
"25","18","Male","22","Jacket","Outerwear","M","Green","Fall","Florida","Weekly","16","Store Pickup","Debit Card","True","True","Low","2.9"
"26","18","Male","25","Hoodie","Clothing","M","Silver","Summer","Texas","Annually","14","Express","Paypal","True","True","Medium","3.6"
"27","38","Male","20","Jewelry","Accessories","M","Red","Spring","Nevada","Annually","13","Next Day Air","Credit Card","True","True","Medium","3.6"
"28","56","Male","56","Shorts","Clothing","L","Cyan","Summer","Kentucky","Every 3 Months","7","Next Day Air","Bank Transfer","True","True","High","5.0"
"29","54","Male","94","Handbag","Accessories","M","Gray","Fall","North Carolina","Every 3 Months","41","Free Shipping","Paypal","True","True","Medium","4.4"
"30","31","Male","48","Dress","Clothing","S","Black","Fall","Wyoming","Weekly","14","Store Pickup","Credit Card","True","True","Medium","4.1"
"31","57","Male","31","Jewelry","Accessories","L","Black","Winter","North Carolina","Monthly","16","Standard","Credit Card","True","True","High","4.7"
"32","33","Male","79","Dress","Clothing","L","Brown","Winter","West Virginia","Monthly","45","Store Pickup","Venmo","True","True","High","4.7"
"33","36","Male","67","Jacket","Outerwear","M","Silver","Summer","Kansas","Annually","37","Free Shipping","Venmo","True","True","High","4.9"
"34","54","Male","38","Pants","Clothing","L","Green","Summer","Colorado","Quarterly","45","Store Pickup","Cash","True","True","Low","3.3"
"35","36","Male","91","T-Shirt","Clothing","L","Violet","Spring","North Dakota","Quarterly","38","2-Day Shipping","Paypal","True","True","High","4.6"
"36","54","Male","33","Blouse","Clothing","M","Cyan","Summer","Massachusetts","Bi-Weekly","48","2-Day Shipping","Credit Card","True","True","Medium","4.0"
"37","35","Male","69","T-Shirt","Clothing","M","Maroon","Winter","Illinois","Fortnightly","44","Free Shipping","Paypal","True","True","High","4.6"
"38","35","Male","45","Jeans","Clothing","S","Cyan","Summer","Indiana","Weekly","10","Store Pickup","Paypal","True","True","Low","2.8"
"39","29","Male","37","Dress","Clothing","M","Red","Winter","Florida","Every 3 Months","44","2-Day Shipping","Venmo","True","True","Medium","3.7"
"40","70","Male","60","Pants","Clothing","S","Turquoise","Summer","Arizona","Monthly","18","Express","Credit Card","True","True","Medium","4.2"
"41","69","Male","76","Handbag","Accessories","L","Beige","Winter","Louisiana","Quarterly","31","Next Day Air","Debit Card","True","True","High","4.6"
"42","67","Male","39","Scarf","Accessories","M","Orange","Spring","Alaska","Annually","40","Standard","Venmo","True","True","Medium","4.5"
"43","20","Male","100","Coat","Outerwear","M","Beige","Spring","Tennessee","Annually","15","Free Shipping","Paypal","True","True","Medium","4.1"
"44","25","Male","69","Scarf","Accessories","L","Lavender","Fall","Ohio","Fortnightly","19","Store Pickup","Paypal","True","True","Medium","3.7"
"45","39","Male","53","Hat","Accessories","S","Silver","Summer","Kentucky","Weekly","45","Free Shipping","Paypal","True","True","High","4.6"
"46","50","Male","21","Socks","Clothing","Xl","Indigo","Fall","Tennessee","Annually","25","2-Day Shipping","Paypal","True","True","Low","2.9"
"47","57","Male","43","Shirt","Clothing","L","White","Summer","California","Quarterly","45","Store Pickup","Cash","True","True","Low","2.9"
"48","55","Male","54","Jewelry","Accessories","M","Charcoal","Winter","Montana","Weekly","36","Free Shipping","Cash","True","True","Medium","4.5"
"49","42","Male","55","Shirt","Clothing","M","Orange","Summer","Nevada","Monthly","38","Store Pickup","Cash","True","True","Low","2.7"
"50","68","Male","30","Hoodie","Clothing","S","Indigo","Spring","New Jersey","Bi-Weekly","34","Next Day Air","Debit Card","True","True","High","4.6"
"51","49","Male","28","Blouse","Clothing","M","Red","Spring","Maryland","Bi-Weekly","39","Store Pickup","Debit Card","True","True","Medium","3.7"
"52","59","Male","59","Skirt","Clothing","Xl","Gray","Winter","Vermont","Quarterly","7","2-Day Shipping","Credit Card","True","True","High","4.7"
"53","42","Male","20","T-Shirt","Clothing","M","Green","Summer","Alaska","Weekly","26","Free Shipping","Credit Card","True","True","Low","2.6"
"54","29","Male","24","Skirt","Clothing","S","Peach","Winter","Mississippi","Weekly","35","Next Day Air","Credit Card","True","True","Medium","3.9"
"55","47","Male","94","Coat","Outerwear","M","Brown","Summer","New Mexico","Bi-Weekly","35","Next Day Air","Debit Card","True","True","Medium","4.2"
"56","40","Male","28","Jacket","Outerwear","M","Lavender","Winter","South Carolina","Annually","49","2-Day Shipping","Credit Card","True","True","Low","3.0"
"57","41","Male","73","Backpack","Accessories","Xl","Brown","Summer","Mississippi","Weekly","46","Store Pickup","Credit Card","True","True","High","4.7"
"58","21","Male","64","Coat","Outerwear","M","White","Summer","West Virginia","Fortnightly","17","Store Pickup","Debit Card","True","True","Medium","4.4"
"59","69","Male","54","Hoodie","Clothing","M","Charcoal","Summer","Missouri","Monthly","29","Free Shipping","Venmo","True","True","Medium","4.2"
"60","63","Male","79","Belt","Accessories","L","Yellow","Spring","Louisiana","Weekly","4","Standard","Debit Card","True","True","High","4.6"
"61","50","Male","37","Sweater","Clothing","L","Brown","Summer","Idaho","Weekly","17","Express","Cash","True","True","Medium","4.0"
"62","55","Male","68","Scarf","Accessories","M","Orange","Winter","Texas","Every 3 Months","21","Store Pickup","Credit Card","True","True","High","4.7"
"63","30","Male","21","Sneakers","Footwear","S","Magenta","Spring","Mississippi","Fortnightly","31","Free Shipping","Credit Card","True","True","Medium","3.8"
"64","33","Male","79","Sunglasses","Accessories","L","Lavender","Winter","Arizona","Weekly","43","2-Day Shipping","Credit Card","True","True","Low","2.7"
"65","65","Male","83","Boots","Footwear","S","Green","Fall","Alabama","Fortnightly","18","Standard","Debit Card","True","True","High","4.8"
"66","65","Male","36","Backpack","Accessories","M","Purple","Spring","New Jersey","Every 3 Months","44","2-Day Shipping","Venmo","True","True","High","4.8"
"67","31","Male","94","Blouse","Clothing","S","Magenta","Winter","Pennsylvania","Every 3 Months","3","2-Day Shipping","Venmo","True","True","High","4.7"
"68","45","Male","33","Coat","Outerwear","L","Gray","Winter","Connecticut","Monthly","49","Store Pickup","Debit Card","True","True","Medium","4.4"
"69","57","Male","46","Handbag","Accessories","L","Silver","Summer","Utah","Every 3 Months","21","Next Day Air","Cash","True","True","Medium","3.9"
"70","48","Male","70","Belt","Accessories","S","Cyan","Summer","Tennessee","Weekly","5","Express","Cash","True","True","Medium","4.4"
"71","22","Male","29","Belt","Accessories","M","Magenta","Fall","Alabama","Every 3 Months","32","Express","Debit Card","True","True","Medium","4.2"
"72","36","Male","48","Dress","Clothing","L","Gold","Summer","Virginia","Annually","34","Express","Bank Transfer","True","True","Low","2.9"
"73","18","Male","26","Dress","Clothing","M","Olive","Winter","Georgia","Every 3 Months","21","Store Pickup","Bank Transfer","True","True","Low","2.9"
"74","48","Male","85","Pants","Clothing","M","Teal","Spring","Hawaii","Bi-Weekly","43","Free Shipping","Bank Transfer","True","True","Low","2.7"
"75","49","Male","58","Gloves","Accessories","L","Violet","Spring","Indiana","Monthly","3","Express","Cash","True","True","Medium","4.5"
"76","64","Male","85","Scarf","Accessories","M","Blue","Summer","Utah","Annually","21","Free Shipping","Credit Card","True","True","Low","2.7"
"77","50","Male","43","Hat","Accessories","S","Teal","Summer","Delaware","Monthly","32","Free Shipping","Venmo","True","True","Medium","4.2"
"78","22","Male","53","Dress","Clothing","L","Gold","Summer","Delaware","Fortnightly","36","Next Day Air","Debit Card","True","True","Low","3.3"
"79","50","Male","91","Skirt","Clothing","M","Maroon","Spring","Nebraska","Fortnightly","50","Free Shipping","Venmo","True","True","High","4.7"
"80","38","Male","96","Jacket","Outerwear","M","Olive","Winter","Iowa","Every 3 Months","43","2-Day Shipping","Bank Transfer","True","True","Low","2.6"
"81","19","Male","72","Sandals","Footwear","Xl","Blue","Summer","New York","Every 3 Months","24","Store Pickup","Credit Card","True","True","Low","3.3"
"82","67","Male","96","Shoes","Footwear","L","Maroon","Summer","Virginia","Every 3 Months","36","Express","Credit Card","True","True","Low","2.6"
"83","19","Male","28","Pants","Clothing","S","Olive","Spring","Georgia","Every 3 Months","21","2-Day Shipping","Credit Card","True","True","Medium","4.0"
"84","36","Male","40","Dress","Clothing","M","Turquoise","Summer","Texas","Weekly","34","Standard","Bank Transfer","True","True","Medium","4.1"
"85","52","Male","32","Coat","Outerwear","S","Peach","Spring","Arizona","Every 3 Months","42","Standard","Bank Transfer","True","True","Medium","4.4"
"86","53","Male","95","Sunglasses","Accessories","M","Charcoal","Winter","New Mexico","Bi-Weekly","2","Next Day Air","Debit Card","True","True","Medium","4.5"
"87","24","Male","41","Hoodie","Clothing","L","Pink","Spring","Nevada","Bi-Weekly","47","2-Day Shipping","Cash","True","True","Medium","3.7"
"88","52","Male","53","Shoes","Footwear","M","Green","Fall","Ohio","Fortnightly","44","2-Day Shipping","Debit Card","True","True","Medium","3.7"
"89","33","Male","47","T-Shirt","Clothing","M","Orange","Fall","Wyoming","Monthly","35","Free Shipping","Credit Card","True","True","Low","3.5"
"90","47","Male","83","Jacket","Outerwear","Xl","Pink","Fall","California","Quarterly","15","Next Day Air","Cash","True","True","Medium","3.6"
"91","25","Male","48","Hat","Accessories","L","Violet","Summer","South Carolina","Monthly","29","Express","Credit Card","True","True","Low","2.9"
"92","44","Male","99","Scarf","Accessories","S","Green","Winter","South Carolina","Every 3 Months","18","Standard","Credit Card","True","True","High","4.6"
"93","61","Male","87","Jacket","Outerwear","M","Olive","Winter","Texas","Every 3 Months","13","2-Day Shipping","Venmo","True","True","Medium","4.4"
"94","37","Male","62","Sweater","Clothing","M","Purple","Fall","Florida","Weekly","46","Standard","Credit Card","True","True","Medium","4.5"
"95","58","Male","76","Skirt","Clothing","S","Silver","Spring","Nevada","Weekly","28","Free Shipping","Credit Card","True","True","High","4.6"
"96","37","Male","100","Sneakers","Footwear","L","Pink","Fall","Missouri","Monthly","48","Free Shipping","Paypal","True","True","Medium","3.8"
"97","32","Male","73","Gloves","Accessories","S","Gold","Spring","Delaware","Every 3 Months","43","Express","Venmo","True","True","Medium","3.6"
"98","21","Male","92","Shoes","Footwear","M","Teal","Winter","Virginia","Annually","37","Store Pickup","Cash","True","True","High","4.8"
"99","20","Male","67","Jeans","Clothing","Xl","Teal","Spring","New York","Annually","20","Next Day Air","Bank Transfer","True","True","Low","2.6"
"100","26","Male","40","Hoodie","Clothing","Xl","Indigo","Summer","Missouri","Quarterly","33","Express","Debit Card","True","True","Medium","3.7"
"101","62","Male","98","Sunglasses","Accessories","M","Maroon","Fall","South Dakota","Fortnightly","31","Express","Cash","True","True","Low","2.7"
"102","27","Male","85","Coat","Outerwear","Xl","White","Spring","North Dakota","Bi-Weekly","50","Express","Credit Card","True","True","High","4.6"
"103","51","Male","67","Socks","Clothing","L","Violet","Winter","Oklahoma","Quarterly","35","Next Day Air","Credit Card","True","True","High","4.8"
"104","54","Male","89","Boots","Footwear","L","Red","Winter","West Virginia","Bi-Weekly","22","Next Day Air","Venmo","True","True","Medium","4.0"
"105","55","Male","24","Sunglasses","Accessories","L","Pink","Spring","New Hampshire","Monthly","1","2-Day Shipping","Paypal","True","True","Medium","4.4"
"106","69","Male","96","Backpack","Accessories","M","Charcoal","Fall","New York","Annually","4","Next Day Air","Bank Transfer","True","True","Medium","3.6"
"107","64","Male","35","Jacket","Outerwear","L","White","Summer","Minnesota","Monthly","31","Standard","Credit Card","True","True","Medium","3.7"
"108","28","Male","67","Sneakers","Footwear","L","Olive","Winter","Maryland","Fortnightly","46","Next Day Air","Paypal","True","True","Low","3.1"
"109","70","Male","79","Socks","Clothing","L","Purple","Spring","Montana","Bi-Weekly","32","Next Day Air","Bank Transfer","True","True","Low","3.4"
"110","58","Male","85","T-Shirt","Clothing","M","Violet","Spring","Alabama","Fortnightly","43","Next Day Air","Bank Transfer","True","True","Low","2.6"
"111","56","Male","26","Backpack","Accessories","M","Black","Summer","New York","Fortnightly","26","Standard","Venmo","True","True","Medium","4.0"
"112","26","Male","75","Belt","Accessories","L","Purple","Summer","Massachusetts","Annually","9","Free Shipping","Credit Card","True","True","High","5.0"
"113","37","Male","65","Gloves","Accessories","M","Red","Spring","Florida","Bi-Weekly","28","Free Shipping","Paypal","True","True","Medium","4.3"
"114","44","Male","54","Hat","Accessories","L","Maroon","Winter","New Jersey","Quarterly","20","Next Day Air","Paypal","True","True","Low","3.1"
"115","70","Male","95","Coat","Outerwear","S","Blue","Summer","Massachusetts","Weekly","9","Store Pickup","Cash","True","True","Medium","3.7"
"116","53","Male","94","Skirt","Clothing","M","Gray","Spring","Wyoming","Every 3 Months","48","Standard","Debit Card","True","True","Medium","3.8"
"117","55","Male","86","Shoes","Footwear","S","Blue","Spring","Virginia","Annually","12","Free Shipping","Venmo","True","True","Low","3.4"
"118","50","Male","32","Sandals","Footwear","L","Yellow","Summer","South Dakota","Fortnightly","29","Express","Cash","True","True","High","4.6"
"119","50","Male","45","Sweater","Clothing","L","Orange","Fall","Kentucky","Bi-Weekly","27","2-Day Shipping","Cash","True","True","High","4.8"
"120","38","Male","76","Coat","Outerwear","M","Orange","Fall","Wyoming","Annually","44","Express","Cash","True","True","Medium","4.3"
"121","64","Male","84","Hat","Accessories","L","Red","Summer","West Virginia","Annually","32","Express","Bank Transfer","True","True","Medium","4.0"
"122","19","Male","72","Shorts","Clothing","M","Olive","Winter","Virginia","Fortnightly","11","Standard","Cash","True","True","Medium","4.2"
"123","40","Male","40","Backpack","Accessories","L","Brown","Spring","Washington","Fortnightly","44","2-Day Shipping","Cash","True","True","High","4.8"
"124","57","Male","89","Sweater","Clothing","L","Brown","Fall","Louisiana","Weekly","46","Free Shipping","Cash","True","True","Low","3.1"
"125","44","Male","86","Sweater","Clothing","M","Gray","Spring","Nevada","Annually","50","Next Day Air","Paypal","True","True","Low","3.1"
"126","49","Male","54","Shorts","Clothing","M","Indigo","Winter","California","Every 3 Months","45","Next Day Air","Venmo","True","True","Medium","3.6"
"127","43","Male","36","Shorts","Clothing","L","Pink","Spring","Mississippi","Every 3 Months","48","Store Pickup","Cash","True","True","Medium","3.9"
"128","24","Male","89","Sweater","Clothing","M","Gray","Winter","Mississippi","Weekly","26","Next Day Air","Credit Card","True","True","High","4.8"
"129","20","Male","32","Scarf","Accessories","M","Gold","Spring","California","Fortnightly","21","Standard","Credit Card","True","True","High","4.7"
"130","24","Male","67","Dress","Clothing","Xl","Olive","Summer","Pennsylvania","Bi-Weekly","49","2-Day Shipping","Paypal","True","True","Medium","4.2"
"131","44","Male","39","Scarf","Accessories","L","Violet","Fall","Kentucky","Fortnightly","13","Next Day Air","Paypal","True","True","Medium","3.7"
"132","28","Male","29","Skirt","Clothing","L","Indigo","Summer","Maine","Weekly","46","Standard","Credit Card","True","True","Medium","3.9"
"133","30","Male","58","Backpack","Accessories","M","Orange","Fall","New Mexico","Weekly","42","2-Day Shipping","Paypal","True","True","High","4.7"
"134","52","Male","65","Sweater","Clothing","M","Violet","Winter","Montana","Annually","25","Next Day Air","Venmo","True","True","Low","2.5"
"135","43","Male","94","Hat","Accessories","L","Gray","Fall","Texas","Monthly","25","Store Pickup","Cash","True","True","High","4.9"
"136","43","Male","81","Sandals","Footwear","M","Purple","Fall","Kansas","Quarterly","12","Express","Paypal","True","True","Medium","4.1"
"137","39","Male","86","Blouse","Clothing","M","White","Winter","South Carolina","Quarterly","4","Free Shipping","Debit Card","True","True","Low","3.3"
"138","68","Male","43","Sneakers","Footwear","M","Turquoise","Spring","Colorado","Weekly","38","Free Shipping","Paypal","True","True","High","4.7"
"139","68","Male","29","Skirt","Clothing","M","Maroon","Winter","Georgia","Weekly","42","Store Pickup","Bank Transfer","True","True","Medium","4.4"
"140","49","Male","95","Coat","Outerwear","M","White","Fall","Florida","Annually","30","Store Pickup","Venmo","True","True","Medium","3.8"
"141","63","Male","28","Shirt","Clothing","L","Yellow","Fall","North Carolina","Weekly","50","2-Day Shipping","Credit Card","True","True","Medium","3.9"
"142","56","Male","46","Gloves","Accessories","M","Turquoise","Fall","Virginia","Weekly","45","Free Shipping","Paypal","True","True","High","4.9"
"143","37","Male","58","Jacket","Outerwear","L","Violet","Fall","Nebraska","Fortnightly","33","Free Shipping","Credit Card","True","True","Low","3.1"
"144","30","Male","48","Coat","Outerwear","M","Beige","Fall","Missouri","Quarterly","25","Store Pickup","Paypal","True","True","Low","2.7"
"145","19","Male","43","Shoes","Footwear","M","Silver","Fall","New Jersey","Monthly","25","Express","Cash","True","True","Low","3.2"
"146","24","Male","95","Jewelry","Accessories","M","Teal","Fall","Missouri","Quarterly","44","Standard","Debit Card","True","True","Medium","4.5"
"147","52","Male","30","Skirt","Clothing","S","Black","Fall","Colorado","Fortnightly","21","Standard","Venmo","True","True","Medium","4.0"
"148","63","Male","64","Shoes","Footwear","M","Purple","Summer","Idaho","Fortnightly","31","2-Day Shipping","Bank Transfer","True","True","Low","3.5"
"149","37","Male","90","Gloves","Accessories","M","Gray","Fall","Wyoming","Annually","47","Store Pickup","Debit Card","True","True","Low","2.6"
"150","38","Male","76","Pants","Clothing","M","White","Summer","Delaware","Monthly","14","Free Shipping","Paypal","True","True","Low","3.2"
"151","35","Male","96","Boots","Footwear","L","Cyan","Fall","California","Every 3 Months","17","Standard","Debit Card","True","True","High","4.9"
"152","28","Male","47","Sunglasses","Accessories","L","Turquoise","Fall","North Dakota","Annually","3","Next Day Air","Venmo","True","True","Medium","4.5"
"153","30","Male","85","Shirt","Clothing","S","Brown","Summer","South Carolina","Annually","42","Express","Venmo","True","True","Medium","4.3"
"154","69","Male","55","Hoodie","Clothing","M","Maroon","Winter","North Carolina","Annually","22","Standard","Debit Card","True","True","Low","3.2"
"155","41","Male","98","Dress","Clothing","M","Charcoal","Fall","Oklahoma","Quarterly","21","Next Day Air","Venmo","True","True","Medium","3.6"
"156","63","Male","77","Socks","Clothing","S","Olive","Spring","Maine","Quarterly","21","Free Shipping","Bank Transfer","True","True","Medium","4.3"
"157","35","Male","26","Shorts","Clothing","M","Lavender","Fall","Missouri","Annually","40","Standard","Debit Card","True","True","Medium","4.0"
"158","36","Male","68","Hat","Accessories","S","Yellow","Fall","Vermont","Fortnightly","1","Next Day Air","Bank Transfer","True","True","Low","3.0"
"159","25","Male","73","Shirt","Clothing","Xl","Teal","Fall","Connecticut","Monthly","50","Standard","Bank Transfer","True","True","Medium","4.1"
"160","58","Male","27","Gloves","Accessories","M","Charcoal","Fall","New Hampshire","Every 3 Months","39","Store Pickup","Bank Transfer","True","True","Medium","3.8"
"161","27","Male","23","Gloves","Accessories","M","Orange","Summer","Texas","Monthly","34","Free Shipping","Venmo","True","True","High","4.6"
"162","65","Male","49","Backpack","Accessories","M","Olive","Fall","North Dakota","Fortnightly","29","Express","Venmo","True","True","Low","3.0"
"163","54","Male","74","Sunglasses","Accessories","M","Turquoise","Summer","California","Bi-Weekly","31","Store Pickup","Paypal","True","True","Low","3.0"
"164","54","Male","67","Skirt","Clothing","M","Purple","Summer","Virginia","Weekly","8","Standard","Debit Card","True","True","Low","3.4"
"165","59","Male","65","Handbag","Accessories","S","Purple","Spring","Delaware","Fortnightly","5","Free Shipping","Credit Card","True","True","Low","2.6"
"166","42","Male","60","Handbag","Accessories","S","Yellow","Winter","Kentucky","Monthly","7","Store Pickup","Cash","True","True","Low","2.8"
"167","46","Male","31","Sneakers","Footwear","Xl","Indigo","Fall","Delaware","Monthly","30","Store Pickup","Cash","True","True","Medium","4.0"
"168","33","Male","27","Gloves","Accessories","M","Green","Fall","Arkansas","Every 3 Months","14","Express","Credit Card","True","True","Medium","4.0"
"169","34","Male","80","Shoes","Footwear","M","Magenta","Summer","Louisiana","Fortnightly","5","Express","Cash","True","True","Low","3.0"
"170","27","Male","30","Jacket","Outerwear","S","Gold","Summer","Nevada","Every 3 Months","3","Standard","Paypal","True","True","Low","3.3"
"171","52","Male","25","Shirt","Clothing","M","Maroon","Fall","Wyoming","Bi-Weekly","46","Store Pickup","Venmo","True","True","Low","2.6"
"172","29","Male","35","Shorts","Clothing","M","Blue","Summer","Virginia","Weekly","4","Store Pickup","Credit Card","True","True","Medium","3.6"
"173","54","Male","67","Jewelry","Accessories","M","Violet","Summer","Nebraska","Bi-Weekly","42","Next Day Air","Credit Card","True","True","Medium","3.9"
"174","25","Male","46","Hat","Accessories","M","Turquoise","Fall","Hawaii","Annually","30","Standard","Cash","True","True","Low","3.4"
"175","41","Male","35","Shoes","Footwear","L","Brown","Winter","Vermont","Annually","37","Express","Venmo","True","True","Low","3.5"
"176","53","Male","86","Coat","Outerwear","L","Violet","Fall","Oklahoma","Annually","2","Next Day Air","Bank Transfer","True","True","Low","2.8"
"177","53","Male","81","Backpack","Accessories","L","Black","Spring","New Hampshire","Quarterly","30","Next Day Air","Credit Card","True","True","Low","2.7"
"178","21","Male","42","Hoodie","Clothing","L","Magenta","Fall","Kansas","Monthly","47","Next Day Air","Bank Transfer","True","True","Medium","3.7"
"179","61","Male","43","Skirt","Clothing","L","Lavender","Fall","Idaho","Quarterly","21","2-Day Shipping","Paypal","True","True","Medium","4.3"
"180","64","Male","31","Boots","Footwear","M","Violet","Fall","Illinois","Fortnightly","9","Store Pickup","Bank Transfer","True","True","High","4.9"
"181","51","Male","81","Sandals","Footwear","L","Green","Fall","South Dakota","Fortnightly","12","Store Pickup","Debit Card","True","True","Low","3.3"
"182","32","Male","61","Pants","Clothing","M","Beige","Summer","Massachusetts","Weekly","4","Next Day Air","Bank Transfer","True","True","High","4.7"
"183","38","Male","96","Gloves","Accessories","Xl","Purple","Summer","Alabama","Annually","10","Store Pickup","Debit Card","True","True","Low","2.8"
"184","58","Male","29","Skirt","Clothing","Xl","Beige","Spring","Ohio","Weekly","26","2-Day Shipping","Credit Card","True","True","Medium","3.6"
"185","32","Male","33","Sneakers","Footwear","L","Cyan","Spring","Hawaii","Fortnightly","40","Express","Cash","True","True","Low","3.0"
"186","46","Male","32","T-Shirt","Clothing","Xl","Silver","Summer","Wisconsin","Fortnightly","34","Store Pickup","Bank Transfer","True","True","Medium","4.5"
"187","39","Male","56","Backpack","Accessories","S","Lavender","Summer","Minnesota","Annually","31","Standard","Debit Card","True","True","Low","2.9"
"188","19","Male","94","Shoes","Footwear","S","Purple","Spring","Georgia","Bi-Weekly","1","Store Pickup","Bank Transfer","True","True","Low","3.3"
"189","50","Male","53","Hoodie","Clothing","M","Pink","Spring","Arkansas","Bi-Weekly","5","Express","Bank Transfer","True","True","Low","3.1"
"190","36","Male","82","Blouse","Clothing","M","Maroon","Fall","West Virginia","Weekly","4","Next Day Air","Credit Card","True","True","Medium","4.4"
"191","65","Male","70","Coat","Outerwear","Xl","Beige","Fall","Indiana","Quarterly","48","Free Shipping","Venmo","True","True","Low","3.0"
"192","64","Male","76","Hat","Accessories","M","Gray","Fall","Utah","Every 3 Months","29","Free Shipping","Cash","True","True","Medium","3.9"
"193","46","Male","29","Shoes","Footwear","L","Turquoise","Summer","Nebraska","Bi-Weekly","12","Express","Paypal","True","True","Low","2.9"
"194","36","Male","100","Belt","Accessories","S","Silver","Fall","North Dakota","Annually","29","Standard","Venmo","True","True","Low","3.0"
"195","51","Male","94","Backpack","Accessories","M","Olive","Spring","Missouri","Quarterly","15","Express","Debit Card","True","True","Low","3.1"
"196","51","Male","25","Jacket","Outerwear","M","Magenta","Fall","New York","Monthly","34","Free Shipping","Credit Card","True","True","Medium","4.3"
"197","38","Male","88","Boots","Footwear","M","Lavender","Summer","Washington","Fortnightly","41","Next Day Air","Credit Card","True","True","Medium","3.9"
"198","59","Male","78","Scarf","Accessories","M","Black","Fall","South Carolina","Monthly","41","2-Day Shipping","Credit Card","True","True","Low","3.2"
"199","57","Male","45","Jewelry","Accessories","M","Turquoise","Winter","Utah","Fortnightly","39","Standard","Credit Card","True","True","High","4.8"
"200","54","Male","73","Hat","Accessories","Xl","Green","Summer","Idaho","Weekly","32","Express","Cash","True","True","Medium","3.8"
"201","25","Male","61","Dress","Clothing","S","Teal","Summer","Pennsylvania","Monthly","29","Next Day Air","Venmo","True","True","Low","3.3"
"202","69","Male","22","Blouse","Clothing","S","Beige","Fall","Missouri","Annually","15","Free Shipping","Bank Transfer","True","True","Medium","4.3"
"203","57","Male","38","Hat","Accessories","L","Magenta","Spring","Nebraska","Annually","33","Express","Venmo","True","True","Low","2.7"
